2026-04-22 17:01:29.652 [main] INFO  org.perswsj.TliasWebMangementApplication-Starting TliasWebMangementApplication using Java 21.0.7 with PID 26856 (D:\coding\JavaWeb\back_end\web-ai-project02\tlias-web-mangement\target\classes started by 32188 in D:\coding\JavaWeb\back_end\web-ai-project02)
2026-04-22 17:01:29.657 [main] INFO  org.perswsj.TliasWebMangementApplication-No active profile set, falling back to 1 default profile: "default"
2026-04-22 17:01:30.539 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-04-22 17:01:30.550 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-04-22 17:01:30.552 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-04-22 17:01:30.552 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-04-22 17:01:30.609 [main] INFO  o.s.b.w.c.servlet.WebApplicationContextInitializer-Root WebApplicationContext: initialization completed in 899 ms
2026-04-22 17:01:31.240 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-04-22 17:01:31.262 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-04-22 17:01:31.265 [main] INFO  org.perswsj.TliasWebMangementApplication-Started TliasWebMangementApplication in 2.036 seconds (process running for 3.28)
2026-04-22 17:03:39.222 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-22 17:03:39.222 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-04-22 17:03:39.224 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
2026-04-22 17:03:39.372 [http-nio-8080-exec-2] INFO  org.perswsj.controller.ClazzController-修改班级数据: Clazz(id=8, name=JavaEE就业166期, room=101, beginDate=2023-06-01, endDate=2024-01-25, masterId=7, subject=1, createTime=null, updateTime=null, masterName=null, status=null)
2026-04-22 17:03:39.376 [http-nio-8080-exec-2] INFO  org.perswsj.service.impl.ClazzServiceImpl-修改班级数据: Clazz(id=8, name=JavaEE就业166期, room=101, beginDate=2023-06-01, endDate=2024-01-25, masterId=7, subject=1, createTime=null, updateTime=2026-04-22T17:03:39.376109800, masterName=null, status=null)
2026-04-22 17:03:39.422 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-04-22 17:03:40.070 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2b1dc26d
2026-04-22 17:03:40.073 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
