2026-04-18 01:39:11.373 [main] INFO  org.perswsj.TliasWebMangementApplication-Starting TliasWebMangementApplication using Java 21.0.7 with PID 30592 (D:\coding\JavaWeb\back_end\web-ai-project02\tlias-web-mangement\target\classes started by 32188 in D:\coding\JavaWeb\back_end\web-ai-project02)
2026-04-18 01:39:11.376 [main] INFO  org.perswsj.TliasWebMangementApplication-No active profile set, falling back to 1 default profile: "default"
2026-04-18 01:39:12.177 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-04-18 01:39:12.190 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-04-18 01:39:12.191 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-04-18 01:39:12.191 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-04-18 01:39:12.252 [main] INFO  o.s.b.w.c.servlet.WebApplicationContextInitializer-Root WebApplicationContext: initialization completed in 839 ms
2026-04-18 01:39:12.786 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-04-18 01:39:12.805 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-04-18 01:39:12.809 [main] INFO  org.perswsj.TliasWebMangementApplication-Started TliasWebMangementApplication in 1.821 seconds (process running for 2.99)
2026-04-18 01:39:51.028 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-18 01:39:51.028 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-04-18 01:39:51.029 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2026-04-18 01:39:51.076 [http-nio-8080-exec-1] INFO  org.perswsj.controller.DeptController-查询部门全部数据
2026-04-18 01:39:51.101 [http-nio-8080-exec-2] INFO  org.perswsj.controller.EmpController-分页查询员工列表数据，参数：EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2026-04-18 01:39:51.106 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-04-18 01:39:51.781 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@72debf8e
2026-04-18 01:39:51.784 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-04-18 01:50:05.422 [http-nio-8080-exec-3] INFO  org.perswsj.controller.EmpController-分页查询员工列表数据，参数：EmpQueryParam(page=2, pageSize=10, name=, gender=null, begin=null, end=null)
2026-04-18 01:50:06.182 [http-nio-8080-exec-4] INFO  org.perswsj.controller.EmpController-分页查询员工列表数据，参数：EmpQueryParam(page=3, pageSize=10, name=, gender=null, begin=null, end=null)
2026-04-18 01:50:07.464 [http-nio-8080-exec-7] INFO  org.perswsj.controller.EmpController-分页查询员工列表数据，参数：EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2026-04-18 01:50:10.462 [http-nio-8080-exec-5] INFO  org.perswsj.controller.EmpController-分页查询员工列表数据，参数：EmpQueryParam(page=3, pageSize=10, name=, gender=null, begin=null, end=null)
2026-04-18 01:50:11.419 [http-nio-8080-exec-8] INFO  org.perswsj.controller.EmpController-分页查询员工列表数据，参数：EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2026-04-18 01:50:12.768 [http-nio-8080-exec-6] INFO  org.perswsj.controller.DeptController-查询部门全部数据
2026-04-18 01:50:12.769 [http-nio-8080-exec-9] INFO  org.perswsj.controller.EmpController-分页查询员工列表数据，参数：EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2026-04-18 01:50:18.301 [http-nio-8080-exec-10] INFO  org.perswsj.controller.DeptController-查询部门全部数据
2026-04-18 01:50:24.319 [http-nio-8080-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver-Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.lang.Integer'; For input string: "list"]
2026-04-18 01:50:29.380 [http-nio-8080-exec-5] INFO  org.perswsj.controller.DeptController-查询部门全部数据
2026-04-18 01:50:29.382 [http-nio-8080-exec-7] INFO  org.perswsj.controller.EmpController-分页查询员工列表数据，参数：EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2026-04-18 01:51:22.985 [SpringApplicationShutdownHook] INFO  org.springframework.boot.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2026-04-18 01:51:22.990 [tomcat-shutdown] INFO  org.springframework.boot.tomcat.GracefulShutdown-Graceful shutdown complete
2026-04-18 01:51:22.992 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2026-04-18 01:51:22.997 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
